season,episode,episode_id,title,imdb_id,hist1_pct,hist2_pct,hist3_pct,hist4_pct,hist5_pct,hist6_pct,hist7_pct,hist8_pct,hist9_pct,hist10_pct,avg_anger,avg_awkwardness,avg_frustration_or_despair,avg_humor,avg_joy_or_excitement,avg_sarcasm,avg_self_deprecation,contestant_avg_age,contestant_prop_female,contestant_prop_comedians,contestant_nationality_diversity,contestant_avg_experience
13,10,13_10,The House Queens,tt15533012,1.1,0.0,0.5,0.0,1.1,2.6,15.3,23.3,22.2,33.9,0.1709090909090909,2.2945454545454544,0.0254545454545454,3.1345454545454547,0.0581818181818181,1.9054545454545455,1.5127272727272727,43.2,0.6,0.6,3,17.0
14,1,14_1,"The chassis, the wings",tt21109564,0.0,0.0,1.6,0.5,0.5,4.3,25.5,32.1,14.7,20.7,0.2006802721088435,2.4776785714285716,0.0204778156996587,3.1345454545454547,0.0653846153846153,1.99625468164794,1.6123348017621146,33.6,0.4,0.8,4,20.0
14,2,14_2,Enormous hugeness,tt21111240,0.0,0.0,0.0,0.5,0.0,2.7,15.7,29.2,22.2,29.7,0.2242647058823529,2.5588235294117645,0.9742647058823528,3.1654411764705883,1.0404411764705883,2.0330882352941178,1.6691176470588236,33.6,0.4,0.8,4,20.0
14,3,14_3,Dafty in the middle,tt21111236,0.0,0.0,0.0,0.6,0.0,3.4,18.4,25.7,24.0,27.9,0.2951388888888889,2.5277777777777777,0.0138888888888888,3.076388888888889,0.03125,1.9027777777777777,1.5347222222222223,33.6,0.4,0.8,4,20.0
14,4,14_4,Crumbs in my bralette,tt21111238,0.6,0.0,0.6,0.0,0.6,6.8,26.1,34.2,9.3,21.7,0.2415094339622641,2.550943396226415,0.0377358490566037,3.0150943396226415,0.0452830188679245,1.8641509433962264,1.6830188679245284,33.6,0.4,0.8,4,20.0
14,5,14_5,Chip Biffington,tt21111246,0.0,0.0,0.6,0.0,1.2,4.2,26.5,28.3,15.7,23.5,0.2330827067669172,2.3834586466165413,0.0150375939849624,3.030075187969925,0.0601503759398496,1.7969924812030076,1.4962406015037597,33.6,0.4,0.8,4,20.0
14,6,14_6,Long-legged lobster,tt21111244,0.0,0.0,0.6,0.6,0.6,3.8,26.9,30.6,14.4,22.5,0.2006802721088435,2.4776785714285716,0.0204778156996587,3.1345454545454547,0.0653846153846153,1.99625468164794,1.6123348017621146,33.6,0.4,0.8,4,20.0
14,7,14_7,The system of endless plates,tt21111242,0.0,0.0,0.6,0.6,1.2,4.3,21.1,29.2,19.3,23.6,0.1853448275862069,2.435344827586207,0.0086206896551724,2.9525862068965516,0.043103448275862,1.8577586206896552,1.4224137931034482,33.6,0.4,0.8,4,20.0
15,1,15_1,The curse of politeness,tt23902930,3.4,2.0,1.0,1.0,2.5,5.9,19.2,33.0,14.3,17.7,0.2105263157894736,2.506072874493927,0.0161943319838056,2.9635627530364372,0.0850202429149797,2.0445344129554655,1.6923076923076923,35.8,0.2,0.6,4,22.5
15,2,15_2,Trapped in a loveless marriage,tt23902956,2.2,2.2,0.5,0.5,2.7,3.8,23.1,33.0,9.9,22.0,0.1910569105691057,2.540650406504065,0.016260162601626,2.959349593495935,0.0365853658536585,1.9471544715447155,1.6585365853658536,35.8,0.2,0.6,4,22.5
15,3,15_3,I love to squander promise,tt23902962,2.4,1.8,1.2,1.2,2.4,4.8,26.2,32.1,10.1,17.9,0.3153526970954357,2.6473029045643153,0.0248962655601659,3.033195020746888,0.0414937759336099,2.1701244813278007,1.6348547717842323,35.8,0.2,0.6,4,22.5
15,4,15_4,How heavy is the water?,tt23902970,3.0,1.2,1.8,0.6,0.6,3.0,22.9,32.5,13.9,20.5,0.2006802721088435,2.4776785714285716,0.0204778156996587,3.1345454545454547,0.0653846153846153,1.99625468164794,1.6123348017621146,35.8,0.2,0.6,4,22.5
15,5,15_5,Old Honkfoot,tt23902982,1.8,1.2,2.5,1.2,1.2,5.5,21.5,35.6,10.4,19.0,0.2272727272727272,2.553719008264463,0.0165289256198347,2.950413223140496,0.0289256198347107,1.9710743801652892,1.6363636363636365,35.8,0.2,0.6,4,22.5
15,6,15_6,It's my milk now,tt23903024,2.5,1.3,0.0,2.5,1.9,5.7,28.5,29.7,9.5,18.4,0.2341269841269841,2.6865079365079363,0.0317460317460317,3.0555555555555554,0.0515873015873015,2.003968253968254,1.6865079365079363,35.8,0.2,0.6,4,22.5
15,7,15_7,Schrödinger's egg,tt23903042,2.0,1.3,0.0,0.7,2.6,4.6,28.1,31.4,11.1,18.3,0.1589147286821705,2.643410852713178,0.0077519379844961,3.0271317829457365,0.0155038759689922,2.065891472868217,1.631782945736434,35.8,0.2,0.6,4,22.5
15,8,15_8,100% Bosco,tt23903082,2.6,0.7,1.3,1.3,2.0,5.3,21.9,34.4,10.6,19.9,0.1927710843373494,2.538152610441767,0.0080321285140562,3.0963855421686746,0.0240963855421686,2.0642570281124497,1.6465863453815262,35.8,0.2,0.6,4,22.5
15,9,15_9,A show about pedantry,tt23903090,2.0,0.7,0.7,0.7,2.0,0.7,26.8,33.6,12.1,20.8,0.221311475409836,2.5491803278688523,0.0163934426229508,2.9795081967213113,0.0491803278688524,2.069672131147541,1.5040983606557377,35.8,0.2,0.6,4,22.5
15,10,15_10,A yardstick for failure,tt23903100,3.9,1.3,0.7,1.3,0.0,5.3,23.7,34.2,11.8,17.8,0.2006802721088435,2.4776785714285716,0.0204778156996587,3.1345454545454547,0.0653846153846153,1.99625468164794,1.6123348017621146,35.8,0.2,0.6,4,22.5
16,1,16_1,The natural friends,tt29259800,0.0,1.5,0.5,0.5,0.5,6.4,15.8,29.6,22.2,23.2,0.1666666666666666,2.5921985815602837,0.7269503546099291,3.074468085106383,1.283687943262411,1.8475177304964536,1.5886524822695036,45.0,0.6,0.4,3,32.5
16,2,16_2,Hell is here,tt29259803,0.6,0.6,0.6,1.2,1.8,7.6,28.1,32.7,11.1,15.8,0.1291390728476821,2.506622516556291,0.0298013245033112,3.248344370860927,0.0794701986754966,2.052980132450331,1.6158940397350994,45.0,0.6,0.4,3,32.5
16,3,16_3,Languidly,tt29259806,1.3,0.0,1.3,0.0,1.9,6.3,28.5,35.4,9.5,15.8,0.1701388888888889,2.7847222222222223,0.0277777777777777,3.170138888888889,0.0833333333333333,1.9826388888888888,1.78125,45.0,0.6,0.4,3,32.5
